"행정구역(시군구)별","시점","총전입[명]","총전출[명]","순이동[명]","시도내이동-시군구내[명]","시도내이동-시군구간 전입[명]","시도내이동-시군구간 전출[명]","시도간전입[명]","시도간전출[명]",
"금정구","2016. 05 월","2427","2767","-340","926","834","934","667","907",
"강서구","2016. 05 월","2170","948","1222","182","1307","336","681","430",
"연제구","2016. 05 월","2316","2525","-209","679","1174","1283","463","563",
"수영구","2016. 05 월","2353","2424","-71","732","1079","1080","542","612",
"사상구","2016. 05 월","1874","2305","-431","499","871","1114","504","692",
"기장군","2016. 05 월","1837","1356","481","250","1022","552","565","554",
"대구광역시","2016. 05 월","25379","26570","-1191","9304","9946","9946","6129","7320",
"중  구","2016. 05 월","969","1129","-160","188","517","675","264","266",
"동  구","2016. 05 월","3633","3792","-159","1268","1297","1388","1068","1136",
"서  구","2016. 05 월","1750","2383","-633","738","675","1143","337","502",
"남  구","2016. 05 월","1860","2250","-390","651","772","1089","437","510",
"북  구","2016. 05 월","4554","4288","266","1693","1793","1339","1068","1256",
"수성구","2016. 05 월","4272","4825","-553","1991","1274","1302","1007","1532",
"달서구","2016. 05 월","4583","5922","-1339","1894","1497","2472","1192","1556",
"달성군","2016. 05 월","3758","1981","1777","881","2121","538","756","562",
"인천광역시","2016. 05 월","36236","35585","651","14056","10223","10223","11957","11306",
"중  구","2016. 05 월","1601","1451","150","362","546","557","693","532",
"동  구","2016. 05 월","646","785","-139","189","333","419","124","177",
"남  구","2016. 05 월","5417","5162","255","2051","1962","1768","1404","1343",
"연수구","2016. 05 월","4650","3758","892","1674","1473","950","1503","1134",
"남동구","2016. 05 월","6530","6814","-284","2780","1834","2103","1916","1931",
"부평구","2016. 05 월","6417","6830","-413","2689","1398","1897","2330","2244",
"계양구","2016. 05 월","3677","4033","-356","1642","849","1068","1186","1323",
"서구","2016. 05 월","6381","5981","400","2535","1594","1258","2252","2188",
"강화군","2016. 05 월","594","509","85","124","140","119","330","266",
"옹진군","2016. 05 월","323","262","61","10","94","84","219","168",
"광주광역시","2016. 05 월","18670","18653","17","7215","6223","6223","5232","5215",
"동  구","2016. 05 월","1396","1599","-203","425","610","793","361","381",
"서  구","2016. 05 월","6016","4788","1228","2497","2269","1162","1250","1129",
"남  구","2016. 05 월","2393","2793","-400","773","883","1262","737","758",
"북  구","2016. 05 월","4550","5246","-696","1880","1216","1798","1454","1568",
"광산구","2016. 05 월","4315","4227","88","1640","1245","1208","1430","1379",
"대전광역시","2016. 05 월","16214","17177","-963","5258","5378","5378","5578","6541",
"동  구","2016. 05 월","2357","2745","-388","785","813","1015","759","945",
"중  구","2016. 05 월","2580","2720","-140","810","969","1041","801","869",
"서  구","2016. 05 월","5510","5929","-419","2196","1554","1681","1760","2052",
"유성구","2016. 05 월","4102","3791","311","980","1423","861","1699","1950",
"대덕구","2016. 05 월","1665","1992","-327","487","619","780","559","725",
"울산광역시","2016. 05 월","13865","14317","-452","5716","4777","4777","3372","3824",
"중구","2016. 05 월","2242","2873","-631","925","802","1310","515","638",
"남구","2016. 05 월","4337","4557","-220","2139","1252","1294","946","1124",
"동구","2016. 05 월","1953","2676","-723","1030","385","892","538","754",
"북구","2016. 05 월","3598","2253","1345","1199","1724","551","675","503",
"울주군","2016. 05 월","1735","1958","-223","423","614","730","698","805",
"세종특별자치시","2016. 05 월","4876","2598","2278","1161","0","0","3715","1437",
"세종특별자치시","2016. 05 월","4876","2598","2278","1161","0","0","3715","1437",
"경기도","2016. 05 월","152523","142146","10377","63174","38920","38920","50429","40052",
"수원시","2016. 05 월","13485","13546","-61","6598","3523","4061","3364","2887",
"성남시","2016. 05 월","12864","12488","376","6063","2669","3384","4132","3041",
"의정부시","2016. 05 월","5312","5190","122","2523","1082","1252","1707","1415",
"안양시","2016. 05 월","6329","7011","-682","3018","1744","2323","1567","1670",
"부천시","2016. 05 월","10034","10301","-267","5013","1222","1505","3799","3783",
"광명시","2016. 05 월","3561","3873","-312","1719","504","789","1338","1365",
"평택시","2016. 05 월","6368","5883","485","3238","1318","1173","1812","1472",
"동두천시","2016. 05 월","1424","1402","22","740","382","391","302","271",
"안산시","2016. 05 월","7656","8257","-601","4318","1661","1937","1677","2002",
"고양시","2016. 05 월","11872","11694","178","5746","1954","2445","4172","3503",
"과천시","2016. 05 월","1088","1714","-626","625","169","649","294","440",
"구리시","2016. 05 월","1946","2193","-247","819","478","744","649","630",
"남양주시","2016. 05 월","6573","5807","766","2059","1525","1543","2989","2205",
"오산시","2016. 05 월","2325","2216","109","678","1006","929","641","609",
"시흥시","2016. 05 월","4032","4495","-463","1669","1151","1312","1212","1514",
"군포시","2016. 05 월","2940","3173","-233","1249","966","1170","725","754",
"의왕시","2016. 05 월","1516","1548","-32","301","824","811","391","436",
"하남시","2016. 05 월","5806","2330","3476","1149","1132","451","3525","730",
"용인시","2016. 05 월","11360","10163","1197","3901","3496","3431","3963","2831",
"파주시","2016. 05 월","4637","4338","299","1818","1455","1331","1364","1189",
"이천시","2016. 05 월","3060","2017","1043","872","733","539","1455","606",
"안성시","2016. 05 월","2716","2155","561","1181","773","459","762","515",
"김포시","2016. 05 월","4475","3821","654","1599","781","667","2095","1555",
"화성시","2016. 05 월","8983","5927","3056","2574","4018","1938","2391","1415",
"양주시","2016. 05 월","2126","2143","-17","689","812","835","625","619",
"광주시","2016. 05 월","4006","3216","790","935","1799","1385","1272","896",
"포천시","2016. 05 월","1536","1488","48","527","458","473","551","488",
"여주시","2016. 05 월","1165","1174","-9","468","310","331","387","375",
"양주군","2016. 05 월","0","0","0","0","0","0","0","0",
"여주군","2016. 05 월","0","0","0","0","0","0","0","0",
"화성군","2016. 05 월","0","0","0","0","0","0","0","0",
"파주군","2016. 05 월","0","0","0","0","0","0","0","0",
"광주군","2016. 05 월","0","0","0","0","0","0","0","0",
"연천군","2016. 05 월","439","413","26","93","172","158","174","162",
"포천군","2016. 05 월","0","0","0","0","0","0","0","0",
"가평군","2016. 05 월","790","534","256","86","256","205","448","243",
"양평군","2016. 05 월","2099","1636","463","906","547","299","646","431",
"이천군","2016. 05 월","0","0","0","0","0","0","0","0",
"용인군","2016. 05 월","0","0","0","0","0","0","0","0",
"안성군","2016. 05 월","0","0","0","0","0","0","0","0",
"김포군","2016. 05 월","0","0","0","0","0","0","0","0",
"강원도","2016. 05 월","15995","16263","-268","7613","2552","2552","5830","6098",
"춘천시","2016. 05 월","3400","3309","91","2069","391","288","940","952",
"원주시","2016. 05 월","3899","3777","122","2278","432","320","1189","1179",
"강릉시","2016. 05 월","2306","2374","-68","1384","292","284","630","706",
"동해시","2016. 05 월","800","867","-67","318","185","217","297","332",
"태백시","2016. 05 월","458","538","-80","209","103","110","146","219",
"속초시","2016. 05 월","982","1058","-76","542","202","219","238","297",
"삼척시","2016. 05 월","684","698","-14","221","163","167","300","310",
"홍천군","2016. 05 월","524","539","-15","98","78","132","348","309",
"횡성군","2016. 05 월","441","383","58","60","125","131","256","192",
"영월군","2016. 05 월","298","284","14","30","61","62","207","192",
"평창군","2016. 05 월","290","299","-9","24","59","92","207","183",
"정선군","2016. 05 월","318","297","21","61","92","92","165","144",
"철원군","2016. 05 월","377","479","-102","113","27","36","237","330",
"화천군","2016. 05 월","282","325","-43","47","75","84","160","194",
"양구군","2016. 05 월","172","243","-71","28","30","54","114","161",
"인제군","2016. 05 월","250","257","-7","40","52","63","158","154",
"고성군","2016. 05 월","263","296","-33","41","105","99","117","156",
"양양군","2016. 05 월","251","240","11","50","80","102","121","88",
"충청북도","2016. 05 월","16024","15220","804","8122","1752","1752","6150","5346",
"청주시","2016. 05 월","8552","8605","-53","5437","613","594","2502","2574",
"충주시","2016. 05 월","2327","2216","111","1382","185","200","760","634",
"제천시","2016. 05 월","1489","1292","197","698","118","107","673","487",
"청원군","2016. 05 월","0","0","0","0","0","0","0","0",
"보은군","2016. 05 월","280","242","38","61","73","75","146","106",
"옥천군","2016. 05 월","359","331","28","62","36","28","261","241",
"영동군","2016. 05 월","461","395","66","71","58","42","332","282",
"증평군","2016. 05 월","353","330","23","22","179","181","152","127",
"진천군","2016. 05 월","698","498","200","105","169","161","424","232",
"괴산군","2016. 05 월","381","310","71","50","116","129","215","131",
"음성군","2016. 05 월","921","821","100","197","174","200","550","424",
"단양군","2016. 05 월","203","180","23","37","31","35","135","108",
"충청남도","2016. 05 월","24471","23236","1235","11017","3962","3962","9492","8257",
"천안시","2016. 05 월","8639","7872","767","4738","1102","821","2799","2313",
"공주시","2016. 05 월","921","1022","-101","370","110","106","441","546",
"보령시","2016. 05 월","1015","1123","-108","538","85","191","392","394",
"아산시","2016. 05 월","3781","3631","150","1627","737","954","1417","1050",
"서산시","2016. 05 월","1651","1776","-125","781","189","392","681","603",
"논산시","2016. 05 월","1084","1146","-62","451","118","144","515","551",
"계룡시","2016. 05 월","532","453","79","102","51","46","379","305",
"당진시","2016. 05 월","1607","1693","-86","723","131","242","753","728",
"금산군","2016. 05 월","385","390","-5","81","28","18","276","291",
"연기군","2016. 05 월","0","0","0","0","0","0","0","0",
"논산군","2016. 05 월","0","0","0","0","0","0","0","0",
"부여군","2016. 05 월","441","498","-57","126","72","95","243","277",
"서천군","2016. 05 월","395","421","-26","98","50","56","247","267",
"청양군","2016. 05 월","183","191","-8","23","65","64","95","104",
"홍성군","2016. 05 월","2789","1598","1191","1140","1023","180","626","278",
"예산군","2016. 05 월","494","890","-396","89","134","538","271","263",
"태안군","2016. 05 월","554","532","22","130","67","115","357","287",
"당진군","2016. 05 월","0","0","0","0","0","0","0","0",
"전라북도","2016. 05 월","19474","20054","-580","10369","4123","4123","4982","5562",
"전주시","2016. 05 월","7487","7894","-407","4669","1397","1442","1421","1783",
"군산시","2016. 05 월","3217","3278","-61","2030","392","359","795","889",
"익산시","2016. 05 월","3006","3152","-146","1845","480","479","681","828",
"정읍시","2016. 05 월","1068","989","79","447","231","173","390","369",
"남원시","2016. 05 월","897","848","49","469","121","131","307","248",
"김제시","2016. 05 월","904","888","16","402","293","275","209","211",
"완주군","2016. 05 월","887","909","-22","112","550","526","225","271",
"진안군","2016. 05 월","184","201","-17","18","98","104","68","79",
"무주군","2016. 05 월","149","183","-34","37","27","34","85","112",
"장수군","2016. 05 월","155","142","13","16","46","62","93","64",
"임실군","2016. 05 월","280","305","-25","46","147","181","87","78",
"순창군","2016. 05 월","201","227","-26","38","47","78","116","111",
"고창군","2016. 05 월","529","551","-22","92","144","153","293","306",
"부안군","2016. 05 월","510","487","23","148","150","126","212","213",
"전라남도","2016. 05 월","18097","18469","-372","7655","3605","3605","6837","7209",
"목포시","2016. 05 월","2953","3091","-138","1630","671","706","652","755",
"여수시","2016. 05 월","2908","2927","-19","1815","313","355","780","757",
"순천시","2016. 05 월","3845","3656","189","2457","713","485","675","714",
"나주시","2016. 05 월","1149","1102","47","338","141","105","670","659",
"여천시","2016. 05 월","0","0","0","0","0","0","0","0",
"광양시","2016. 05 월","1190","1316","-126","358","263","411","569","547",
"담양군","2016. 05 월","349","342","7","35","25","28","289","279",
"곡성군","2016. 05 월","321","233","88","30","62","28","229","175",
"구례군","2016. 05 월","259","237","22","77","58","53","124","107",
"여천군","2016. 05 월","0","0","0","0","0","0","0","0",
"고흥군","2016. 05 월","413","421","-8","81","74","122","258","218",
"보성군","2016. 05 월","261","293","-32","34","67","80","160","179",
"화순군","2016. 05 월","457","524","-67","87","70","65","300","372",
"장흥군","2016. 05 월","223","348","-125","66","28","72","129","210",
"강진군","2016. 05 월","233","267","-34","57","60","62","116","148",
"해남군","2016. 05 월","438","475","-37","96","97","115","245","264",
"영암군","2016. 05 월","492","562","-70","100","181","194","211","268",
"무안군","2016. 05 월","818","780","38","88","443","386","287","306",
"함평군","2016. 05 월","249","238","11","30","48","23","171","185",
"영광군","2016. 05 월","378","442","-64","119","29","45","230","278",
"장성군","2016. 05 월","378","466","-88","51","29","34","298","381",
"완도군","2016. 05 월","296","265","31","42","51","62","203","161",
"진도군","2016. 05 월","164","208","-44","42","28","65","94","101",
"신안군","2016. 05 월","323","276","47","22","154","109","147","145",
"경상북도","2016. 05 월","24655","24234","421","11272","3946","3946","9437","9016",
"포항시","2016. 05 월","4226","4501","-275","2622","400","491","1204","1388",
"경주시","2016. 05 월","2291","2322","-31","1134","274","302","883","886",
"김천시","2016. 05 월","1572","1447","125","740","288","257","544","450",
"안동시","2016. 05 월","1371","1621","-250","756","198","322","417","543",
"구미시","2016. 05 월","4653","4516","137","2503","827","735","1323","1278",
"영주시","2016. 05 월","908","937","-29","464","119","109","325","364",
"영천시","2016. 05 월","918","921","-3","400","170","183","348","338",
"상주시","2016. 05 월","814","823","-9","400","125","147","289","276",
"문경시","2016. 05 월","586","647","-61","264","103","114","219","269",
"경산시","2016. 05 월","3067","2694","373","1226","324","280","1517","1188",
"군위군","2016. 05 월","168","127","41","18","30","30","120","79",
"의성군","2016. 05 월","351","316","35","70","78","73","203","173",
"청송군","2016. 05 월","213","165","48","40","65","43","108","82",
"영양군","2016. 05 월","82","84","-2","10","32","29","40","45",
"영덕군","2016. 05 월","260","249","11","59","65","78","136","112",
"청도군","2016. 05 월","372","324","48","92","41","38","239","194",
"고령군","2016. 05 월","238","241","-3","15","28","26","195","200",
"성주군","2016. 05 월","315","343","-28","64","36","65","215","214",
"칠곡군","2016. 05 월","1002","1055","-53","156","389","413","457","486",
"예천군","2016. 05 월","488","268","220","75","215","74","198","119",
"봉화군","2016. 05 월","211","198","13","55","43","50","113","93",
"울진군","2016. 05 월","389","336","53","103","48","46","238","187",
"울릉군","2016. 05 월","160","99","61","6","48","41","106","52",
"경상남도","2016. 05 월","33272","33010","262","17283","5675","5675","10314","10052",
"창원시","2016. 05 월","0","0","0","0","0","0","0","0",
"창원시","2016. 05 월","10175","11012","-837","6921","1218","1509","2036","2582",
"울산시","2016. 05 월","0","0","0","0","0","0","0","0",
"마산시","2016. 05 월","0","0","0","0","0","0","0","0",
"진주시","2016. 05 월","3471","3445","26","2110","706","634","655","701",
"진해시","2016. 05 월","0","0","0","0","0","0","0","0",
"통영시","2016. 05 월","1669","1644","25","1035","331","275","303","334",
"사천시","2016. 05 월","1061","1091","-30","496","270","300","295","295",
"김해시","2016. 05 월","4647","4920","-273","2232","828","879","1587","1809",
"밀양시","2016. 05 월","1028","912","116","468","214","147","346","297",
"거제시","2016. 05 월","3112","3141","-29","1640","419","412","1053","1089",
"양산시","2016. 05 월","4586","3267","1319","1701","363","194","2522","1372",
"의령군","2016. 05 월","206","232","-26","32","108","105","66","95",
"함안군","2016. 05 월","570","523","47","91","325","282","154","150",
"창녕군","2016. 05 월","560","501","59","95","182","161","283","245",
"양산군","2016. 05 월","0","0","0","0","0","0","0","0",
"고성군","2016. 05 월","353","393","-40","47","177","218","129","128",
"남해군","2016. 05 월","211","266","-55","54","60","83","97","129",
"하동군","2016. 05 월","329","416","-87","62","120","160","147","194",
"산청군","2016. 05 월","267","230","37","27","141","111","99","92",
"함양군","2016. 05 월","293","284","9","87","68","73","138","124",
"거창군","2016. 05 월","454","397","57","133","92","55","229","209",
"합천군","2016. 05 월","280","336","-56","52","53","77","175","207",
"제주특별자치도","2016. 05 월","8464","7006","1458","4414","710","710","3340","1882",
"제주시","2016. 05 월","5910","5090","820","3405","363","347","2142","1338",
"서귀포시","2016. 05 월","2554","1916","638","1009","347","363","1198","544",
"북제주군","2016. 05 월","0","0","0","0","0","0","0","0",
"남제주군","2016. 05 월","0","0","0","0","0","0","0","0",
